Industry,Gender,Education,Avg_Salary
Investing,Woman,"College degree",58000.00
"Education (Primary/Secondary)","Prefer not to answer","College degree",58000.00
Architecture,Man,"College degree",58000.00
Music,Man,"Master's degree",58000.00
"Religion ",Woman,"Master's degree",58000.00
"Association Management",Woman,"College degree",58000.00
Law,Woman,"High School",58027.14
Nonprofits,"Prefer not to answer","College degree",58035.56
"Customer Service",Woman,"College degree",58224.00
"Food Manufacturing",Woman,"Master's degree",58240.00
"Education (Higher Education)",Man,"High School",58250.00
Sales,Man,"High School",58280.00
Publishing,Woman,"College degree",58314.76
"Property or Construction","Prefer not to answer","College degree",58333.33
"Clinical Research ",Woman,"College degree",58500.00
"Funeral Service",Woman,"Master's degree",58642.00
"Health care","Prefer not to answer","College degree",58710.00
"Government Affairs/Lobbying",Woman,"College degree",59000.00
Zoo,Woman,"College degree",59000.00
"Interior Design & Architecture",Woman,"College degree",59000.00
Mining,Woman,"Master's degree",59000.00
"Online education",Woman,"College degree",59000.00
"Higher Education Fundraising",Woman,"Master's degree",59000.00
"Public Library",Woman,"Master's degree",59141.84
Academic,Man,"College degree",59250.00
Unknown,Woman,"High School",59377.25
"Hospitality & Events",Man,"College degree",59421.12
Ministry,Woman,"Master's degree",59750.00
Publishing,Woman,PhD,59800.00
"Beer sales",Man,"College degree",60000.00
Research,Man,"Master's degree",60000.00
"Pre-primary education",Woman,"Master's degree",60000.00
"Rural electrification",Woman,"College degree",60000.00
Construction,Man,"High School",60000.00
Museum,Woman,PhD,60000.00
Consulting,Man,"College degree",60000.00
"CBD Manufacturing",Woman,"College degree",60000.00
"Intergovernmental organization",Woman,"Master's degree",60000.00
Gyms,Woman,"Master's degree",60000.00
"Staffing agency",Man,"Master's degree",60000.00
Psychology,Man,PhD,60000.00
Recruitment,Non-binary,"Master's degree",60033.67
Communications,Woman,"College degree",60110.00
"Contractor ",Woman,"College degree",60121.00
"Transport or Logistics",Woman,"High School",60149.69
"Biomedical Research",Woman,"Master's degree",60152.00
"Govtech Software as a Service",Woman,"College degree",60171.00
"Agriculture or Forestry",Other,"College degree",60366.67
Service,Woman,"College degree",60500.00
"Media & Digital",Man,"High School",60666.67
"Health care",Other,"Master's degree",60675.00
Manufacturing,"Prefer not to answer","College degree",60800.00
Library,Woman,"Master's degree",60924.73
"Public Library","Prefer not to answer","Master's degree",61157.00
"Utilities & Telecommunications",Woman,"High School",61161.43
"Education (Higher Education)",Other,"Master's degree",61232.14
"Marketing, Advertising & PR","Prefer not to answer","College degree",61250.00
"Marketing, Advertising & PR",Woman,"Professional degree (MD, JD, etc)",61250.00
"Marketing, Advertising & PR",Non-binary,"Master's degree",61333.33
"Book Publishing",Woman,"College degree",61333.33
"Government and Public Administration",Woman,"High School",61446.46
"Hospitality & Events",Woman,"College degree",61459.74
"Social Work",Woman,"Master's degree",61521.46
"Agriculture or Forestry",Woman,"College degree",61583.05
"Environmental Consulting",Woman,"Master's degree",61772.71
"Supply Chain ",Woman,"Master's degree",61800.00
Manufacturing,Woman,"High School",61875.00
"Life Science",Woman,"College degree",62000.00
"Learning and Development",Man,"College degree",62000.00
Recruitment,Non-binary,"College degree",62000.00
"Higher Education",Woman,"Master's degree",62000.00
"Contractor ",Woman,"Master's degree",62000.00
Labour,Woman,"Master's degree",62000.00
"Laundry and Rental",Woman,"College degree",62000.00
Automotive,Man,"High School",62000.00
Veterinary,Woman,"Master's degree",62000.00
"Environmental Consulting",Woman,"College degree",62133.13
"Agriculture or Forestry",Man,"College degree",62208.07
Cannabis,Woman,"College degree",62333.33
"Education (Primary/Secondary)",Man,PhD,62333.33
Homemaker,Non-binary,"Master's degree",62400.00
Retail,Man,"Master's degree",62425.00
"Law Enforcement & Security",Man,"High School",62500.00
"Engineering or Manufacturing",Non-binary,PhD,62500.00
"Real Estate ",Non-binary,"College degree",62500.00
"Media & Digital",Other,"College degree",62514.29
Nonprofits,Non-binary,"Professional degree (MD, JD, etc)",62833.33
"Municipal library",Woman,"Master's degree",63000.00
"Parking ",Woman,"High School",63000.00
"Real Estate",Woman,"High School",63000.00
"Clean energy",Woman,"Master's degree",63000.00
"Property or Construction",Man,"Professional degree (MD, JD, etc)",63000.00
"Food Manufacturing",Man,PhD,63000.00
"Government and Public Administration",Non-binary,"Master's degree",63333.33
"Trade Association",Woman,"College degree",63366.67
Entertainment,Woman,"High School",63500.00
"Art & Design",Non-binary,"College degree",63570.06
"Education (Higher Education)",Man,"College degree",63580.06
Recruitment,Man,"High School",63645.00
